BTC-USD
ETH-USD
USDT-USD
USDC-USD
BNB-USD
XRP-USD
BUSD-USD
ADA-USD
SOL-USD
DOGE-USD
HEX-USD
DOT-USD
MATIC-USD
DAI-USD
WTRX-USD
AVAX-USD
UNI1-USD
SHIB-USD
TRX-USD
STETH-USD
WBTC-USD
ETC-USD
LEO-USD
YOUC-USD
LTC-USD
FTT-USD
LINK-USD
CRO-USD
NEAR-USD
ATOM-USD
XLM-USD
XMR-USD
BCH-USD
BTCB-USD
ALGO-USD
ICP-USD
APE3-USD
FLOW-USD
XCN1-USD
VET-USD
MANA-USD
FIL-USD
SAND-USD
AXS-USD
XTZ-USD
HBAR-USD
FRAX-USD
THETA-USD
AAVE-USD
EGLD-USD
QNT-USD
EOS-USD
WBNB-USD
BSV-USD
TUSD-USD
HNT-USD
MKR-USD
OKB-USD
TONCOIN-USD
BTT-USD
KCS-USD
ZEC-USD
USDP-USD
HBTC-USD
GRT1-USD
KLAY-USD
RUNE-USD
MIOTA-USD
BTT2-USD
FTM-USD
XEC-USD
NEO-USD
CHZ-USD
CRV-USD
USDN-USD
LDO-USD
USDD-USD
HT-USD
MV-USD
LUNA1-USD
BAT-USD
WAVES-USD
BTG-USD
DFI-USD
PAXG-USD
GMT3-USD
CAKE-USD
LRC-USD
STX-USD
ZIL-USD
DASH-USD
KSM-USD
ENJ-USD
AR-USD
CVX-USD
QTUM-USD
MINA-USD
XEM-USD
CELO-USD
KAVA-USD
