Datetime,Open,High,Low,Close,Adj Close,Volume
2022-06-01 00:00:00+00:00,1.1731922313629184e-05,1.1754514162021223e-05,1.1690158316923771e-05,1.1690158316923771e-05,1.1690158316923771e-05,0
2022-06-01 00:15:00+00:00,1.1690480278048199e-05,1.173179680336034e-05,1.1646130587905645e-05,1.166265155916335e-05,1.166265155916335e-05,1634816
2022-06-01 00:30:00+00:00,1.1663532859529369e-05,1.1726297088898718e-05,1.1663532859529369e-05,1.1724926480383147e-05,1.1724926480383147e-05,1291968
2022-06-01 00:45:00+00:00,1.1724400792445522e-05,1.1783179616031703e-05,1.1706108125508763e-05,1.1783179616031703e-05,1.1783179616031703e-05,1761152
2022-06-01 01:00:00+00:00,1.1781577086367179e-05,1.1781577086367179e-05,1.175443503598217e-05,1.177426292997552e-05,1.177426292997552e-05,0
2022-06-01 01:15:00+00:00,1.1773305232054554e-05,1.1773305232054554e-05,1.1719791473296937e-05,1.174010776594514e-05,1.174010776594514e-05,0
2022-06-01 01:30:00+00:00,1.1739606634364463e-05,1.177201556856744e-05,1.1739606634364463e-05,1.174807948700618e-05,1.174807948700618e-05,96096
2022-06-01 01:45:00+00:00,1.174785393232014e-05,1.179443825094495e-05,1.173950749944197e-05,1.1791915312642232e-05,1.1791915312642232e-05,178272
2022-06-01 02:00:00+00:00,1.1796097169280984e-05,1.1819379324151669e-05,1.1781974535551853e-05,1.1782809451688081e-05,1.1782809451688081e-05,0
2022-06-01 02:15:00+00:00,1.17836398203508e-05,1.17836398203508e-05,1.173345935967518e-05,1.173345935967518e-05,1.173345935967518e-05,0
2022-06-01 02:30:00+00:00,1.1736893611669075e-05,1.1740622539946344e-05,1.173519831354497e-05,1.1737322893168312e-05,1.1737322893168312e-05,0
2022-06-01 02:45:00+00:00,1.1743075447157025e-05,1.1756817912100814e-05,1.1721352166205179e-05,1.1740632544388063e-05,1.1740632544388063e-05,0
2022-06-01 03:00:00+00:00,1.174049248220399e-05,1.174049248220399e-05,1.1676654139591847e-05,1.167804566648556e-05,1.167804566648556e-05,0
2022-06-01 03:15:00+00:00,1.1676103895297274e-05,1.1683901902870275e-05,1.1652994544419926e-05,1.1680024726956617e-05,1.1680024726956617e-05,0
2022-06-01 03:30:00+00:00,1.1678674127324484e-05,1.1678674127324484e-05,1.162878834293224e-05,1.162878834293224e-05,1.162878834293224e-05,0
2022-06-01 03:45:00+00:00,1.1625911611190531e-05,1.1629565051407553e-05,1.1614509276114404e-05,1.1618262760748621e-05,1.1618262760748621e-05,237792
2022-06-01 04:00:00+00:00,1.1619375982263591e-05,1.1621486919466406e-05,1.153780522145098e-05,1.154074925580062e-05,1.154074925580062e-05,387136
2022-06-01 04:15:00+00:00,1.154098026745487e-05,1.1583673767745495e-05,1.154098026745487e-05,1.1582844308577478e-05,1.1582844308577478e-05,666336
2022-06-01 04:30:00+00:00,1.1584270396269858e-05,1.1628233551164158e-05,1.1582551451283507e-05,1.1626438208622858e-05,1.1626438208622858e-05,853408
