Datetime,Open,High,Low,Close,Adj Close,Volume
2022-06-01 00:00:00+00:00,1.1283106005066657e-06,1.1283106005066657e-06,1.1261453209954198e-06,1.126333472711849e-06,1.126333472711849e-06,0
2022-06-01 00:15:00+00:00,1.12640577754064e-06,1.127515361076803e-06,1.125354174291715e-06,1.126469442169764e-06,1.126469442169764e-06,0
2022-06-01 00:30:00+00:00,1.1266488399996888e-06,1.128334929489938e-06,1.1257434380240738e-06,1.1263327905908227e-06,1.1263327905908227e-06,0
2022-06-01 00:45:00+00:00,1.1261813597229775e-06,1.1273841664660722e-06,1.1252111562498612e-06,1.1252111562498612e-06,1.1252111562498612e-06,0
2022-06-01 01:00:00+00:00,1.125615540331637e-06,1.1259174925726256e-06,1.124938876273518e-06,1.1253699767621583e-06,1.1253699767621583e-06,0
2022-06-01 01:15:00+00:00,1.1250662055317662e-06,1.1253401908106753e-06,1.1225108664802974e-06,1.1244089819228975e-06,1.1244089819228975e-06,0
2022-06-01 01:30:00+00:00,1.1238998922635801e-06,1.1257087635385687e-06,1.1232912129344186e-06,1.1251742080276017e-06,1.1251742080276017e-06,268912
2022-06-01 01:45:00+00:00,1.125992866946035e-06,1.125992866946035e-06,1.1247784641454928e-06,1.1248697546761832e-06,1.1248697546761832e-06,0
2022-06-01 02:00:00+00:00,1.1244825373069034e-06,1.1261780628046836e-06,1.124366690419265e-06,1.1261780628046836e-06,1.1261780628046836e-06,0
2022-06-01 02:15:00+00:00,1.1255372101004468e-06,1.1266253068242804e-06,1.1215232689210097e-06,1.1215232689210097e-06,1.1215232689210097e-06,61148
2022-06-01 02:30:00+00:00,1.1214460755581968e-06,1.1222897455809289e-06,1.1212806612093118e-06,1.1212806612093118e-06,1.1212806612093118e-06,74548
2022-06-01 02:45:00+00:00,1.1215961421839893e-06,1.1230110885662725e-06,1.1215148560950183e-06,1.1230110885662725e-06,1.1230110885662725e-06,21924
2022-06-01 03:00:00+00:00,1.1231422831770033e-06,1.1242036634939723e-06,1.1225600928810309e-06,1.1242036634939723e-06,1.1242036634939723e-06,140608
2022-06-01 03:15:00+00:00,1.123719471252116e-06,1.1239446848776424e-06,1.12261602680519e-06,1.1228171388211194e-06,1.1228171388211194e-06,0
